ObjectID,ConstituentID
2,6210
3,7470
4,7605
5,7056
6,7605
7,7056
8,7056
9,7056
10,7056
11,7056
12,7056
13,7056
14,7056
16,7056
17,7056
19,7056
20,7056
21,7056
22,7056
23,7056
24,7056
25,7056
26,7056
27,7056
28,7056
29,7056
30,7056
31,7056
32,2964
33,7056
34,7607
35,7056
36,7608
38,7056
39,7608
41,7056
42,7056
43,7056
44,7056
45,7056
46,7056
47,7056
48,7056
49,7056
50,7056
52,7056
54,7056
55,7056
56,7056
57,7056
58,7056
59,7056
60,7056
61,7056
62,7056
63,7056
64,7056
65,7056
66,7056
67,7056
68,7056
76,8100
79,47
81,6969
81,8134
82,6956
82,6957
84,1863
85,7056
87,1863
88,7056
90,1863
92,2308
94,2308
96,2308
98,2308
100,7661
100,8131
100,8180
102,7166
107,27
109,27
111,27
113,27
115,27
117,27
119,27
121,27
123,27
125,27
126,27
128,27
130,27
131,27
132,27
133,27
134,27
135,27
136,27
137,27
138,27
139,27
141,27
142,27
143,27
144,27
145,27
146,27
147,27
148,27
148,24452
149,27
150,27
151,4312
151,6703
151,8102
152,4312
152,6703
152,8102
153,4312
153,6703
153,8102
154,4312
154,6703
154,8102
163,2702
164,2702
165,8219
166,2702
167,8219
168,8101
169,2702
170,8219
171,2702
172,8219
173,2702
174,8219
175,2702
176,8219
177,2702
178,8219
179,2702
180,8219
181,2702
182,8219
183,2702
184,8219
185,2702
186,8219
187,2702
188,8219
189,5076
190,8219
191,5076
192,8219
193,5076
194,8219
195,8219
197,8219
198,8219
199,8219
200,6950
201,6951
201,6952
201,8707
202,6953
203,6954
204,6956
204,6957
204,7558
204,7559
205,6459
206,6459
207,6459
208,6459
209,451
210,6132
210,8213
210,8214
211,6132
211,8213
211,8214
211,8216
212,6132
212,8214
212,8215
212,8216
213,6132
213,8214
213,8215
213,8216
215,6132
215,8214
215,8215
215,8216
219,141
220,47
221,7055
222,7055
223,7055
224,7055
225,2837
226,2837
227,2837
228,2837
229,2837
230,2837
231,2837
232,6076
232,8112
233,2837
235,2837
237,2837
238,2837
239,2837
240,7056
241,6459
242,6459
243,6459
244,6459
245,6459
246,6459
247,6459
248,6459
249,6459
250,6459
252,6934
252,8103
253,6934
253,8103
255,7933
256,7166
257,2864
258,696
259,696
260,696
261,696
262,696
263,696
264,2030
265,696
266,2030
267,696
268,696
269,696
270,696
271,696
272,696
273,696
274,696
275,696
276,696
277,696
278,696
279,696
280,696
281,696
282,6459
283,3925
284,6459
285,6459
286,6934
287,399
288,3250
289,7166
290,7166
291,7166
292,7166
293,7166
294,7166
295,7527
296,8218
296,22884
297,8218
297,22884
298,8218
298,22884
299,8218
299,22884
299,29711
300,6956
300,6957
300,7558
300,7559
301,7661
302,7566
303,7566
304,8125
305,6459
306,6459
307,47
308,47
309,5498
318,27
319,27
319,24452
320,3381
320,8157
320,8158
321,3250
322,3250
323,3250
324,3910
325,3910
326,3910
327,3910
328,3910
329,3910
330,3910
331,3910
332,3381
332,8157
332,8158
333,3381
333,8157
333,8158
334,3381
334,8157
334,8158
335,47
336,141
337,141
338,7055
339,7055
340,7055
341,7055
342,47
343,7055
344,7229
345,451
346,7229
347,7229
348,7229
349,7229
350,7229
351,7229
352,7229
353,451
354,7229
355,696
357,6968
359,6968
360,7569
361,7569
362,7569
363,6953
364,6953
365,6953
366,6953
367,6953
368,6953
369,6953
370,6953
372,6953
373,6953
374,6953
375,6953
376,6953
377,6953
378,6953
379,6953
380,6953
381,6953
382,6953
383,6953
384,6953
386,2964
386,132545
387,2837
388,7166
389,2964
390,6956
390,6957
390,7558
390,7559
391,2964
392,6956
392,6957
392,7558
392,7559
393,3091
394,2964
396,3091
397,2964
399,3091
400,2964
401,6956
401,6957
401,7558
401,7559
402,3091
403,2964
404,6956
404,6957
404,7558
404,7559
405,2964
406,6956
406,6957
406,7558
406,7559
407,2964
408,6956
408,6957
408,7558
408,7559
409,2964
410,6956
410,6957
410,7558
410,7559
411,2964
412,47
413,6956
413,6957
413,7558
413,7559
414,2964
415,141
416,6956
416,6957
416,7558
416,7559
417,2964
418,141
419,6956
419,6957
419,7558
419,7559
420,2964
421,1318
422,141
423,6956
423,6957
423,7558
423,7559
424,2964
425,1318
426,7055
427,6956
427,6957
427,7558
427,7559
428,2964
429,1318
430,451
431,6956
431,6957
431,7558
431,7559
432,2964
433,6201
434,632
435,6956
435,6957
435,7558
435,7559
436,2964
437,696
438,6956
438,6957
438,7558
438,7559
439,2964
440,6951
440,6952
440,8707
441,6956
441,6957
441,7558
441,7559
442,2964
443,632
444,2108
445,3250
446,2964
447,632
448,7572
448,7573
449,7528
450,2964
451,632
452,7418
453,7528
454,2964
455,632
456,2702
457,7528
458,2964
459,632
460,2705
461,7528
462,2964
463,632
