ObjectID,Title,ConstituentID,Date,Medium,Dimensions,Classification,Department,DateAcquired,URL,ImageURL,OnView
37195,Rain,3758,1991,"Ink and ink wash on paper","25 3/4 x 34 1/4" (65.4 x 87.2 cm)
",Drawing,"Drawings & Prints",1992-11-05,https://www.moma.org/collection/works/37195,https://www.moma.org/media/W1siZiIsIjk3NDIxIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMTAyNHgxMDI0XHUwMDNlIl1d.jpg?sha=1b258a29733e9777,"MoMA, Floor 4, 407"
37245,"Aphrodite Study",3758,1991-93,"Ink and gouache on paper","9 5/8 x 7 1/4" (24.4 x 18.4 cm)",Drawing,"Drawings & Prints",1997-10-23,https://www.moma.org/collection/works/37245,https://www.moma.org/media/W1siZiIsIjkzNDk3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMTAyNHgxMDI0XHUwMDNlIl1d.jpg?sha=f9212a96a18ed355,"MoMA, Floor 4, 407"
37559,Stone,3787,1964,"Ink on paper","10 7/8 x 10 7/8" (27.7 x 27.7 cm)
",Drawing,"Drawings & Prints",1964-10-06,https://www.moma.org/collection/works/37559,https://www.moma.org/media/W1siZiIsIjE4NTU2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1f73693382289860,"MoMA, Floor 5, 516"
37661,Maine,6275,1914,"Pastel and charcoal on paper","24 1/2 x 18 3/4" (62.2 x 47.6 cm)
",Drawing,"Drawings & Prints",1943-11-04,https://www.moma.org/collection/works/37661,https://www.moma.org/media/W1siZiIsIjE4NjU2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=835e3c0b912bbfe5,"MoMA, Floor 5, 509"
38245,"Profile of a Girl (Study for 'Thalia and Melpomene') (Brustbild eines Mädchens mit langem Haar im Profil nach links)",3147,1898–99,"Colored pencil on paper","16 3/4 x 11 3/8" (42.6 x 28.9 cm)",Drawing,"Drawings & Prints",1979-05-07,https://www.moma.org/collection/works/38245,https://www.moma.org/media/W1siZiIsIjEzNjE3OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=599ffb1a9a9adcf6,"MoMA, Floor 5, 504"
38276,"Annunciation Study I",3758,1978,"Pencil and beeswax on paper","22 1/8 x 29 5/8" (56.8 x 75.2 cm)",Drawing,"Drawings & Prints",1985-09-10,https://www.moma.org/collection/works/38276,https://www.moma.org/media/W1siZiIsIjIzNTA0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0ef6d6a60d8dbc22,"MoMA, Floor 4, 407"
38304,Blériotomobil,3964,1921,"Watercolor and ink on paper","21 3/8 x 26" (54.1 x 66.0 cm)",Drawing,"Drawings & Prints",1965-12-07,https://www.moma.org/collection/works/38304,https://www.moma.org/media/W1siZiIsIjQzMzE3OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=15a6efebb1a9371d,"MoMA, Floor 5, 505"
38561,""M'Amenez-y"",4607,"Paris, November 1919 - January 1920","Oil and enamel paint on cardboard","50 3/4 x 35 3/8" (129.2 x 89.8 cm)",Painting,"Painting & Sculpture",1968-10-08,https://www.moma.org/collection/works/38561,https://www.moma.org/media/W1siZiIsIjMzNjY1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=fa4dcfd803bbb225,"MoMA, Floor 5, 505"
39473,"7, rue de l'Estrapade",229,1904-05,"Albumen silver print","8 1/2 × 7" (21.6 × 17.8 cm)",Photograph,Photography,1968-03-06,https://www.moma.org/collection/works/39473,https://www.moma.org/media/W1siZiIsIjI4MzU5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=606d37a32227ec25,"MoMA, Floor 5, 501"
40017,"HÔTEL D'EPINAY. 37 RUE ST.-ROCH",229,1912,"Albumen silver print",NULL,Photograph,Photography,1968-03-06,NULL,NULL,"MoMA, Floor 5, 501"
40037,"Escalier, 8 rue Saint-Augustin",229,1913,"Albumen silver print","8 5/8 × 7 (21.9 × 17.8 cm)",Photograph,Photography,1968-03-06,https://www.moma.org/collection/works/40037,https://www.moma.org/media/W1siZiIsIjI4MjgwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=80a5b2bc948670c7,"MoMA, Floor 5, 501"
40100,"88 Rue Bonaparte",229,1905-06,"Albumen silver print","Approx. 8 11/16 × 7 1/16" (22 × 18 cm)",Photograph,Photography,1968-03-06,https://www.moma.org/collection/works/40100,https://www.moma.org/media/W1siZiIsIjI4MjgzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=37d4bbbea1eb500d,"MoMA, Floor 5, 501"
40116,"23 rue de Seine",229,1905-06,"Albumen silver print","Approx. 8 11/16 × 7 1/16" (22 × 18 cm)",Photograph,Photography,1968-03-06,https://www.moma.org/collection/works/40116,https://www.moma.org/media/W1siZiIsIjI4Mjg0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=74a35431bf88ec44,"MoMA, Floor 5, 501"
40374,"14 rue du Cherche-Midi",229,1905-06,"Albumen silver print","8 1/2 × 6 15/16 (21.6 × 17.6 cm)",Photograph,Photography,1968-03-06,https://www.moma.org/collection/works/40374,https://www.moma.org/media/W1siZiIsIjI4MjgyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=da9d0a6a58b54c3e,"MoMA, Floor 5, 501"
44999,"Les Trois Grâces, Musée de Louvre",745,"c. 1936","Gelatin silver print","18 5/16 × 13 7/8" (46.6 × 35.2 cm)",Photograph,Photography,1964-01-07,https://www.moma.org/collection/works/44999,https://www.moma.org/media/W1siZiIsIjE4Njc4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0084a8370cefa034,"MoMA, Floor 5, 517"
45258,"Pleasures and Terrors of Levitation 491",5456,1954,"Gelatin silver print","9 7/8 × 9 1/2" (25.1 × 24.2 cm)",Photograph,Photography,1989-03-09,https://www.moma.org/collection/works/45258,https://www.moma.org/media/W1siZiIsIjE4MzU2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0ecfa9e09fad2e2a,"MoMA, Floor 4, 409"
45727,"Magnolia Blossom, Tower of Jewels",1332,1925,"Gelatin silver print","9 1/2 × 7" (24.1 × 17.8 cm)",Photograph,Photography,1940-04-05,https://www.moma.org/collection/works/45727,https://www.moma.org/media/W1siZiIsIjE4NDQxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ed2f0fc4db6b3fc6,"MoMA, Floor 5, 509"
46166,"Two Double Negatives",1330,1974,"Two gelatin silver prints","a 7 9/16 × 9 5/8" (19.3 × 24.6 cm)
b 7 11/16 × 9 5/8" (19.5 × 24.5 cm)",Photograph,Photography,1985-03-27,https://www.moma.org/collection/works/46166,https://www.moma.org/media/W1siZiIsIjE5ODM2NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=faf2ec0a75802e56,"MoMA, Floor 4, 419"
46168,Boston,1973,"March 20, 1985","Color instant prints and paint","each 27 3/4 × 22 1/4" (70.3 × 56.4 cm)",Photograph,Photography,1987-04-16,https://www.moma.org/collection/works/46168,https://www.moma.org/media/W1siZiIsIjExNTk2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=dbe0da5771467fa6,"MoMA, Floor 3, 3 South"
46597,"Man in Mirror",5456,1940,"Gelatin silver print, printed 1980","12 × 8 5/8" (30.5 × 22.1 cm)",Photograph,Photography,1985-03-27,https://www.moma.org/collection/works/46597,https://www.moma.org/media/W1siZiIsIjE4MzUwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6fe30b09e5c94b87,"MoMA, Floor 5, 510"
46599,"Peace Meals",5456,"c. 1937","Gelatin silver print, printed 1980","10 7/8 × 7 3/4" (27.9 × 19.9 cm)",Photograph,Photography,1985-03-27,https://www.moma.org/collection/works/46599,https://www.moma.org/media/W1siZiIsIjE4Mzg5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e5b61bda6ba828c3,"MoMA, Floor 5, 510"
46608,"Church Interior",5456,1938,"Gelatin silver print, printed 1980","8 5/8 × 12" (22 × 30.7 cm)",Photograph,Photography,1985-03-27,https://www.moma.org/collection/works/46608,https://www.moma.org/media/W1siZiIsIjE4MzUwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7b0ee6ba6b80e7ef,"MoMA, Floor 5, 510"
46614,"Night Club I",5456,"c. 1937","Gelatin silver print, printed 1980","10 7/8 × 7 7/8" (27.9 × 20.3 cm)",Photograph,Photography,1985-03-27,https://www.moma.org/collection/works/46614,https://www.moma.org/media/W1siZiIsIjE4MzUxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f22bb7b5fc19bb88,"MoMA, Floor 5, 510"
46616,"Lafayette Theatre",5456,1938,"Gelatin silver print, printed 1980","11 5/8 × 8 3/8" (29.7 × 21.5 cm)",Photograph,Photography,1985-03-27,https://www.moma.org/collection/works/46616,https://www.moma.org/media/W1siZiIsIjE4MzkwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=394cb27f96ec5592,"MoMA, Floor 5, 510"
46617,"Watermelon Man",5456,1940,"Gelatin silver print, printed 1980","8 3/8 × 7 7/8" (21.4 × 20.2 cm)",Photograph,Photography,1985-03-27,https://www.moma.org/collection/works/46617,https://www.moma.org/media/W1siZiIsIjE4MzUxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9add87178288d9a6,"MoMA, Floor 5, 519"
46619,"Lady and Lamp",5456,1940,"Gelatin silver print, printed 1980","11 × 7 7/8" (28.1 × 20.2 cm)",Photograph,Photography,1985-03-27,https://www.moma.org/collection/works/46619,https://www.moma.org/media/W1siZiIsIjE4MzUxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9c109360d8cae206,"MoMA, Floor 5, 510"
47162,Untitled,1422,"Before 1958","Gelatin silver print","13 1/16 × 9 1/8" (33.2 × 23.1 cm)",Photograph,Photography,1959-04-22,https://www.moma.org/collection/works/47162,https://www.moma.org/media/W1siZiIsIjE4Mzk4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d532f5fe990485f7,"MoMA, Floor 4, 409"
48124,"Martha Graham, Extasis",4089,1935,"Gelatin silver print","13 1/4 × 10 1/4" (33.6 × 26.0 cm)",Photograph,Photography,1972-05-02,https://www.moma.org/collection/works/48124,https://www.moma.org/media/W1siZiIsIjIwMDIzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=07192c83dfa27369,"MoMA, Floor 4, 409"
48247,"Corn Leaf Rhythm",4089,1945,"Gelatin silver print, printed 1971","19 1/2 × 13 1/2" (49.5 × 34.3 cm)",Photograph,Photography,1972-05-02,https://www.moma.org/collection/works/48247,https://www.moma.org/media/W1siZiIsIjIwMDk5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=12e62888e3ffb86e,"MoMA, Floor 4, 409"
48285,"Spring on Madison Square",4089,1938,"Gelatin silver print","13 7/8 × 16 7/8" (35.3 × 43.0 cm)",Photograph,Photography,1972-05-02,https://www.moma.org/collection/works/48285,https://www.moma.org/media/W1siZiIsIjIwMDI0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3a968858a4b31eb6,"MoMA, Floor 4, 409"
48356,"Landscape - From the Grain Elevator, Happy, Texas",2207,1975-77,"Gelatin silver print",NULL,Photograph,Photography,1979-05-10,https://www.moma.org/collection/works/48356,https://www.moma.org/media/W1siZiIsIjE5ODU4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=70ee737caf151625,"MoMA, Floor 5, 511"
48577,"Grass and Water",60,"c. 1935","Gelatin silver print, printed c. 1936","4 9/16 × 5 3/4" (11.6 × 14.6 cm)",Photograph,Photography,1947-06-17,NULL,NULL,"MoMA, Floor 5, 509"
48651,"Wabash Avenue, Chicago",924,1959,"Gelatin silver print","11 × 14" (27.9 × 35.6 cm)",Photograph,Photography,1962-05-08,https://www.moma.org/collection/works/48651,https://www.moma.org/media/W1siZiIsIjE4NDEwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7d49ce1054ec6429,"MoMA, Floor 4, 409"
48676,"Pleasures and Terrors of Levitation 55",5456,1956,"Gelatin silver print","9 7/8 × 9 1/2" (25.1 × 24.2 cm)",Photograph,Photography,1979-05-10,https://www.moma.org/collection/works/48676,https://www.moma.org/media/W1siZiIsIjUyMDI5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9ec25dc4a18d6a7c,"MoMA, Floor 4, 409"
49844,Chicago,3948,"Spring 1958","Gelatin silver print","9 1/8 × 13 7/16" (23.1 × 34.1 cm)",Photograph,Photography,1959-04-22,https://www.moma.org/collection/works/49844,https://www.moma.org/media/W1siZiIsIjIwMTA4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=122dc86bb84807aa,"MoMA, Floor 4, 409"
49879,"Pas de Bourree, Nora Kaye of the American Ballet Theatre",3979,1947,"Gelatin silver print","10 3/8 × 13 3/8"  (26.3 × 33.9 cm)",Photograph,Photography,1959-04-22,https://www.moma.org/collection/works/49879,https://www.moma.org/media/W1siZiIsIjI0MDA5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b6f5d4507402b093,"MoMA, Floor 4, 409"
50131,"A Lightplay: Black White Gray",4048,"c. 1926","Gelatin silver print","14 3/4 × 10 3/4" (37.4 × 27.4 cm)",Photograph,Photography,1937-12-03,https://www.moma.org/collection/works/50131,https://www.moma.org/media/W1siZiIsIjQ0NDkxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4bb55b76ef64bb52,"MoMA, Floor 5, 505"
50229,"Dream Dance during the Rebuilding of the Vienna State Opera House",4389,"c. 1950","Gelatin silver print","12 3/8 × 10 3/4" (31.4 × 27.3 cm)",Photograph,Photography,1959-04-22,https://www.moma.org/collection/works/50229,https://www.moma.org/media/W1siZiIsIjI1MTE4MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5ffb5e4db1eec047,"MoMA, Floor 4, 409"
50674,"Grete's Eyes",869,1928,"Gelatin silver print","7 1/16 × 9 7/16" (18 × 24 cm)",Photograph,Photography,1994-06-09,https://www.moma.org/collection/works/50674,https://www.moma.org/media/W1siZiIsIjE4ODU5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=243430853a8df4c7,"MoMA, Floor 5, 514"
51562,"Funeral, Paris",1973,1951,"Gelatin silver print","8 11/16 × 13 1/16" (22.1 × 33.1 cm)",Photograph,Photography,1981-10-15,https://www.moma.org/collection/works/51562,https://www.moma.org/media/W1siZiIsIjE4MjE0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3f1c44c5df8c79e6,"MoMA, Floor 4, 402"
51565,"Family, Peru",1973,1948,"Gelatin silver print","8 9/16 × 13 1/16" (21.7 × 33.1 cm)",Photograph,Photography,1981-10-15,https://www.moma.org/collection/works/51565,https://www.moma.org/media/W1siZiIsIjE4MjE0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=55571fa381524ae0,"MoMA, Floor 4, 402"
51567,"Tree, London",1973,1951,"Gelatin silver print","8 11/16 × 13 1/16" (22.1 × 33.1 cm)",Photograph,Photography,1981-10-15,https://www.moma.org/collection/works/51567,https://www.moma.org/media/W1siZiIsIjE4MjE0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=11be53002a5dff9b,"MoMA, Floor 4, 402"
51568,"Communion, Valencia",1973,1952,"Gelatin silver print","9 11/16 × 13" (27.2 × 33 cm)",Photograph,Photography,1981-10-15,https://www.moma.org/collection/works/51568,https://www.moma.org/media/W1siZiIsIjE4MjE0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2263cdbc5de420f0,"MoMA, Floor 4, 402"
51571,"Procession, Valencia",1973,1952,"Gelatin silver print","9 5/8 × 13 1/16" (22 × 33.2 cm)",Photograph,Photography,1981-10-15,https://www.moma.org/collection/works/51571,https://www.moma.org/media/W1siZiIsIjE4MjE2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=880907f85402286d,"MoMA, Floor 4, 402"
51572,"Street Line, New York",1973,1951,"Gelatin silver print","13 13/16 × 8 15/16" (35 × 22.8 cm)",Photograph,Photography,1981-10-15,https://www.moma.org/collection/works/51572,https://www.moma.org/media/W1siZiIsIjE4MjE1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b891a3b202368c69,"MoMA, Floor 4, 402"
51574,"Woman of Stone, New York",1973,1951,"Gelatin silver print","13 13/16 × 10" (35.1 × 25.3 cm)",Photograph,Photography,1981-10-15,https://www.moma.org/collection/works/51574,https://www.moma.org/media/W1siZiIsIjE4MjE1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d60a5095cfedc6ae,"MoMA, Floor 4, 402"
51575,"Medals, New York",1973,1951,"Gelatin silver print","13 7/8 × 9 3/16" (35 × 23.3 cm)",Photograph,Photography,1981-10-15,https://www.moma.org/collection/works/51575,https://www.moma.org/media/W1siZiIsIjE4MjE1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=eeb9df42f0b9bbcf,"MoMA, Floor 4, 402"
51578,"Doll, New York",1973,1949,"Gelatin silver print","13 13/16 × 8 7/16" (35.1 × 21.4 cm)",Photograph,Photography,1981-10-15,https://www.moma.org/collection/works/51578,https://www.moma.org/media/W1siZiIsIjE4MjE1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ab1a1aeeb3a0db27,"MoMA, Floor 4, 402"
51580,"Iron, Malaga",1973,1952,"Gelatin silver print","8 7/8 × 13 1/16" (22.5 × 33.1 cm)",Photograph,Photography,1981-10-15,https://www.moma.org/collection/works/51580,https://www.moma.org/media/W1siZiIsIjE4MjE1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4f325774be2fa81e,"MoMA, Floor 4, 402"
51581,"Table, Mallorca",1973,1952,"Gelatin silver print","13 7/8 × 8 15/16" (35.2 × 22.7 cm)",Photograph,Photography,1981-10-15,https://www.moma.org/collection/works/51581,https://www.moma.org/media/W1siZiIsIjIyNDA1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0ce95498bb6b7ef1,"MoMA, Floor 4, 402"
51582,"Bankers, London",1973,1951,"Gelatin silver print","8 13/16 × 13" (22.5 × 33 cm)",Photograph,Photography,1981-10-15,https://www.moma.org/collection/works/51582,https://www.moma.org/media/W1siZiIsIjE4MjY4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9cdd72c0b5935b9a,"MoMA, Floor 4, 402"
51585,"Dead Horse, Angers",1973,1949,"Gelatin silver print","13 1/16 × 7 15/16" (33.2 × 20.2 cm)",Photograph,Photography,1981-10-15,https://www.moma.org/collection/works/51585,https://www.moma.org/media/W1siZiIsIjE4MjE2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=528df21db7e68783,"MoMA, Floor 4, 402"
51586,"Horse and Children, Paris",1973,1952,"Gelatin silver print","7 7/8 × 13 1/8" (20 × 33.3 cm)",Photograph,Photography,1981-10-15,https://www.moma.org/collection/works/51586,https://www.moma.org/media/W1siZiIsIjE4MjE2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4cdc34c647e94d6a,"MoMA, Floor 4, 402"
51590,"Woman, Paris",1973,1952,"Gelatin silver print","13 13/16 × 8 7/8" (35 × 22.1 cm)",Photograph,Photography,1981-10-15,https://www.moma.org/collection/works/51590,https://www.moma.org/media/W1siZiIsIjE4MjE2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ddeb443c73d65c2e,"MoMA, Floor 4, 402"
51591,"Ticker Tape, New York",1973,1951,"Gelatin silver print","13 13/16 × 10 1/16" (35 × 25.5 cm)",Photograph,Photography,1981-10-15,https://www.moma.org/collection/works/51591,https://www.moma.org/media/W1siZiIsIjE4MjE2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0ebe2e9beecac89d,"MoMA, Floor 4, 402"
51593,"Profile, Venice",1973,1952,"Gelatin silver print","9 1/16 × 13" (23.1 × 33 cm)",Photograph,Photography,1981-10-15,https://www.moma.org/collection/works/51593,https://www.moma.org/media/W1siZiIsIjE4MjE3MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ca26999f8323e04e,"MoMA, Floor 4, 402"
52049,"Food for the Spirit #1",7017,1971,"Gelatin silver print, printed 1997","14 9/16 × 14 13/16" (37 × 37.7 cm)",Photograph,Photography,1998-06-11,https://www.moma.org/collection/works/52049,https://www.moma.org/media/W1siZiIsIjE1NjYzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d47f61f13fc67329,"MoMA, Floor 3, 3 East"
52051,"Food for the Spirit #10",7017,1971,"Gelatin silver print, printed 1997","14 9/16 × 15" (37 × 38.1 cm)",Photograph,Photography,1998-06-11,https://www.moma.org/collection/works/52051,https://www.moma.org/media/W1siZiIsIjE1NjYxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0ffe415f833488fc,"MoMA, Floor 3, 3 East"
52052,"Food for the Spirit #11",7017,1971,"Gelatin silver print, printed 1997","14 9/16 × 15" (37 × 38.1 cm)",Photograph,Photography,1998-06-11,https://www.moma.org/collection/works/52052,https://www.moma.org/media/W1siZiIsIjE1NjYxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6c186e4b026d96e0,"MoMA, Floor 3, 3 East"
52053,"Food for the Spirit #12",7017,1971,"Gelatin silver print, printed 1997","14 9/16 × 15" (37 × 38.1 cm)",Photograph,Photography,1998-06-11,https://www.moma.org/collection/works/52053,https://www.moma.org/media/W1siZiIsIjE1NjYyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3b97bdb8cf344396,"MoMA, Floor 3, 3 East"
52054,"Food for the Spirit #13",7017,1971,"Gelatin silver print, printed 1997","14 9/16 × 14 15/16" (37 × 38 cm)",Photograph,Photography,1998-06-11,https://www.moma.org/collection/works/52054,https://www.moma.org/media/W1siZiIsIjE1NjYyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a63a0a808e1ce6f1,"MoMA, Floor 3, 3 East"
52055,"Food for the Spirit #14",7017,1971,"Gelatin silver print, printed 1997","14 9/16 × 15" (37 × 38.1 cm)",Photograph,Photography,1998-06-11,https://www.moma.org/collection/works/52055,https://www.moma.org/media/W1siZiIsIjE1NjYzMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a7dc1e2bb5daea14,"MoMA, Floor 3, 3 East"
52056,"Food for the Spirit #2",7017,1971,"Gelatin silver print, printed 1997","14 9/16 × 15" (37 × 38.1 cm)",Photograph,Photography,1998-06-11,https://www.moma.org/collection/works/52056,https://www.moma.org/media/W1siZiIsIjE1NjYzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a94d7a4358f37c82,"MoMA, Floor 3, 3 East"
52057,"Food for the Spirit #3",7017,1971,"Gelatin silver print, printed 1997","14 9/16 × 14 15/16" (37 × 38 cm)",Photograph,Photography,1998-06-11,https://www.moma.org/collection/works/52057,https://www.moma.org/media/W1siZiIsIjE1NjYzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8afad029cdafb350,"MoMA, Floor 3, 3 East"
52058,"Food for the Spirit #4",7017,1971,"Gelatin silver print, printed 1997","14 9/16 × 14 15/16" (37 × 38 cm)",Photograph,Photography,1998-06-11,https://www.moma.org/collection/works/52058,https://www.moma.org/media/W1siZiIsIjE1NjYzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=33074f675bd7280a,"MoMA, Floor 3, 3 East"
