ObjectID,Title,ConstituentID,Date,Medium,Dimensions,Classification,Department,DateAcquired,URL,ImageURL,OnView
2205,Tumblers,1968,1954,"Turn mold-blown glass","Each: 3 1/4 x 3 1/8" (8.3 x 8 cm)",Design,"Architecture & Design",1992-01-15,https://www.moma.org/collection/works/2205,https://www.moma.org/media/W1siZiIsIjIyODAxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6e69bbb923df7620,"MoMA, Floor 1, 1 South"
2234,"Bell-47D1 Helicopter",6518,1945,"Aluminum, steel, and acrylic plastic","9' 2 3/4" x 7' 11" x 42' 8 3/4" (281.3 x 302 x 1271.9 cm)",Design,"Architecture & Design",1984-10-30,https://www.moma.org/collection/works/2234,https://www.moma.org/media/W1siZiIsIjI0ODkwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1e29acec814a8870,"MoMA, Floor 3"
2253,"Roundel fragment with water fowl",74896,"4th-6th century C.E.","Wool and linen","8 × 10 3/4" (20.3 × 27.3 cm)",Design,"Architecture & Design",1934-09-23,https://www.moma.org/collection/works/2253,https://www.moma.org/media/W1siZiIsIjQ1Njc3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=371edc8a6efa4074,"MoMA, Floor 2, 2 South"
2258,"Child with Bird",74896,"3rd century C.E.","Coptic textile","15 x 16 1/4" (38.1 x 41.3 cm)",Design,"Architecture & Design",1934-09-23,https://www.moma.org/collection/works/2258,https://www.moma.org/media/W1siZiIsIjQ1Njc3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d20175121bb62627,"MoMA, Floor 2, 2 South"
2267,"Dark River",5814,1962,"Linen and wood","164 x 22 1/2" (416.6 x 57.2 cm)",Design,"Architecture & Design",1963-02-13,https://www.moma.org/collection/works/2267,https://www.moma.org/media/W1siZiIsIjI4NDc1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e0591a2e13829cbe,"MoMA, Floor 1"
2294,"Side Chair (model DCMU)","1671, 1672",1969,"Polyester reinforced with glass fibers, steel tube, Naugahyde with polyurethane foam padding, vinyl, and nylon","Each: 29 1/2 x 19 1/2 x 21 1/2" (74.9 x 49.5 x 54.6 cm)",Design,"Architecture & Design",1973-05-08,https://www.moma.org/collection/works/2294,https://www.moma.org/media/W1siZiIsIjIyODQzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e89eae257b2fbd95,"MoMA, Floor 1, 1 South"
2334,"Child's cradle (model 1573)","8182, 8845, 10582","c. 1895","Ebonized bent beechwood","80 1/4 x 56 1/4 x 25 7/16" (203.8 x 142.9 x 64.6 cm)",Design,"Architecture & Design",1993-05-04,https://www.moma.org/collection/works/2334,https://www.moma.org/media/W1siZiIsIjIxMDUyNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b953728b4dac2621,"MoMA, Floor 5, 504"
2363,Vase,9682,"c. 1900","Hand-painted sculptured glass","21 1/2 × 4 3/8 × 4 1/4" (54.6 × 11.1 × 10.8 cm)",Design,"Architecture & Design",1958-12-04,https://www.moma.org/collection/works/2363,https://www.moma.org/media/W1siZiIsIjU1NjIwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7a3c71ef95e440e1,"MoMA, Floor 5, 501"
2368,"Le Parthènon Vase",9682,"c. 1900","Painted glass","15 3/16 × 3 1/4 × 3 1/2" (38.6 × 8.3 × 8.9 cm)",Design,"Architecture & Design",1958-12-04,https://www.moma.org/collection/works/2368,https://www.moma.org/media/W1siZiIsIjIyODUxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=558a588d4e27c5cd,"MoMA, Floor 5, 501"
2373,Vase,9682,"c. 1900","Painted glass","18 1/8 × 3 1/4 × 2 1/2" (46 × 8.3 × 6.4 cm)",Design,"Architecture & Design",1958-12-04,https://www.moma.org/collection/works/2373,https://www.moma.org/media/W1siZiIsIjIyODUxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e351bfe7021e1a18,"MoMA, Floor 5, 501"
2377,Vase,9682,"c. 1900","Painted glass","8 1/4 x 3 1/2 x 2 3/4" (21 x 8.9 x 7 cm)",Design,"Architecture & Design",1958-12-04,https://www.moma.org/collection/works/2377,https://www.moma.org/media/W1siZiIsIjIxMDU1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8fe2792e391d8c24,"MoMA, Floor 5, 501"
2381,"Miniature Vase",9682,"c. 1900","Painted glass","5 7/8 × 1 7/8 × 1 7/8" (14.9 × 4.8 × 4.8 cm)",Design,"Architecture & Design",1958-12-04,https://www.moma.org/collection/works/2381,https://www.moma.org/media/W1siZiIsIjIyODUyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4000408274c1db9c,"MoMA, Floor 5, 501"
2384,"Miniature Vase",9682,"c. 1900","Hand-painted sculptured glass","6 × 2 × 2" (15.2 × 5.1 × 5.1 cm)",Design,"Architecture & Design",1958-12-04,https://www.moma.org/collection/works/2384,https://www.moma.org/media/W1siZiIsIjIyODU5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=57006abd13064ad0,"MoMA, Floor 5, 501"
2393,"Entrance Gate to Paris Subway (Métropolitain) Station, Paris, France",2407,"c. 1900","Painted cast iron, glazed lava, and glass","13' 11" x 17' 10" x 32" (424.2 x 543.6 x 81.3 cm)
Each vertical stanchion: 1040 lbs. Horizontal component: 460 lbs. Glazed lava sign: 100 lbs.",Architecture,"Architecture & Design",1958-12-04,https://www.moma.org/collection/works/2393,https://www.moma.org/media/W1siZiIsIjI0MDYzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9ec928b17dd8619b,"MoMA, Floor 1, Sculpture Garden"
2460,"Automobile Pistons",9958,1924–1934,"Aluminum alloy",".1: 3 3/4 × 3 1/4" (9.5 × 8.2 cm)
.2: 2 15/16 × 3 1/16" (7.5 × 7.8 cm)",Design,"Architecture & Design",1934-04-01,https://www.moma.org/collection/works/2460,NULL,"MoMA, Floor 5, 511"
2565,"Tulip Armchair (model 150)",5103,1955-56,"Fiberglass-reinforced polyester and cast aluminum","31 1/2 x 25 1/4 x 23 1/2" (80 x 64.1 x 59.7 cm)",Design,"Architecture & Design",1958-12-04,https://www.moma.org/collection/works/2565,https://www.moma.org/media/W1siZiIsIjUxNzkwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c735b3f62bac1931,"MoMA, Floor 1, 1 South"
2659,"Bearing Spring",9953,"Before 1934",Steel,"2 1/2 x 1 5/16" (6.4 x 3.4 cm)",Design,"Architecture & Design",1934-04-01,https://www.moma.org/collection/works/2659,https://www.moma.org/media/W1siZiIsIjIxMDY4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f6c14e8dd33a4ac4,"MoMA, Floor 5, 511"
2682,"Self-Aligning Ball Bearing",6394,1907,"Chrome-plated steel","1 3/4 x 8 1/2" (4.4 x 21.6 cm)",Design,"Architecture & Design",1934-04-01,https://www.moma.org/collection/works/2682,https://www.moma.org/media/W1siZiIsIjIxMDcwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=805516127e63e161,"MoMA, Floor 5, 511"
2704,"Flush Valve",10121,"Before 1934",Chromium,"13 3/8 × 12 × 3 3/4" (34 × 30.5 × 9.5 cm)",Design,"Architecture & Design",1934-01-01,https://www.moma.org/collection/works/2704,https://www.moma.org/media/W1siZiIsIjIxMDcxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b1f0b041fbdb5455,"MoMA, Floor 5, 511"
2728,"Akari Floor Lamp (model 2P)",4324,"c. 1968","Paper shade and metal frame","h. 30" (76.2 cm)",Design,"Architecture & Design",1978-02-27,https://www.moma.org/collection/works/2728,https://www.moma.org/media/W1siZiIsIjIyODgwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=cf7fba4d2ac5f3b6,"MoMA, Floor 1, 1 South"
2731,"Steel Balls",10113,"Before 1934","Nickel-plated steel","Dimensions range from a minimum diameter of  3/8" (1 cm) to a max diameter of 1" (2.5 cm)",Design,"Architecture & Design",1934-04-01,https://www.moma.org/collection/works/2731,https://www.moma.org/media/W1siZiIsIjIxMDcyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=80b58dcb7f6b0c95,"MoMA, Floor 5, 511"
2805,"Boiling Flasks",1249,1920s,"Borosilicate glass",".1: 14 5/8 x 9 1/2" (37.2 x 24.1 cm)
.2: 7 x 4" (17.8 x 10.2 cm)
