Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ImageURL,OnView,"Circumference (cm)","Depth (cm)","Diameter (cm)","Height (cm)","Length (cm)","Weight (kg)","Width (cm)","Seat Height (cm)","Duration (sec.)"
"Eleanor Donnelley Erdman Hall, Bryn Mawr College, Bryn Mawr, Pennsylvania, Plan sketch","Louis I. Kahn",2964,"(American, born Estonia. 1901–1974)",(American),(1901),(1974),(male),1962,"Charcoal on tracing paper","18 x 53 3/8" (45.7 x 135.6 cm)","Gift of the architect",387.1967,Architecture,"Architecture & Design",1967-04-11,yes,478,https://www.moma.org/collection/works/478,https://www.moma.org/media/W1siZiIsIjUxOTcwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1e5ab65b05f86737,NULL,NULL,NULL,NULL,45.70,NULL,NULL,135.60,NULL,NULL
"New York Tower, project, New York, New York, Arch facade","Ricardo Bofill",632,"(Spanish, born 1939)",(Spanish),(1939),NULL,(male),1985,"Graphite and colored pencil on print","37 7/8 x 37 7/8" (96.2 x 96.2 cm)","Gift of Ricardo Bofill Taller de Arquitectura",387.1985,Architecture,"Architecture & Design",1985-11-18,yes,479,https://www.moma.org/collection/works/479,https://www.moma.org/media/W1siZiIsIjUyNDA4MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d1cbd1a2bf41439a,NULL,NULL,NULL,NULL,96.20,NULL,NULL,96.20,NULL,NULL
"Tokyo International Forum, Tokyo, Japan (View of plaza with glass hall)","Rafael Viñoly",7229,"(American, born Uruguay 1944)",(American),(1944),NULL,(male),1991,"Crayon on paper","11 1/2 x 8" (29.2 x 20.3 cm)","Gift of the architect in honor of Lily Auchincloss",387.1994.1,Architecture,"Architecture & Design",1994-09-21,yes,480,https://www.moma.org/collection/works/480,NULL,NULL,NULL,NULL,NULL,29.20,NULL,NULL,20.30,NULL,NULL
"Tokyo International Forum, Tokyo, Japan, Exterior perspectives","Rafael Viñoly",7229,"(American, born Uruguay 1944)",(American),(1944),NULL,(male),1991,"Crayon on paper","11 1/2 x 8" (29.2 x 20.3 cm)","Gift of the architect in honor of Lily Auchincloss",387.1994.1-2,Architecture,"Architecture & Design",1994-09-21,yes,481,https://www.moma.org/collection/works/481,https://www.moma.org/media/W1siZiIsIjUyNzYzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c11befb5bbf8c456,NULL,NULL,NULL,NULL,29.20,NULL,NULL,20.30,NULL,NULL
"Tokyo International Forum, Tokyo, Japan (Exterior perspective)","Rafael Viñoly",7229,"(American, born Uruguay 1944)",(American),(1944),NULL,(male),1991,"Crayon on paper","11 1/2 x 8" (29.2 x 20.3 cm)","Gift of the architect in honor of Lily Auchincloss",387.1994.2,Architecture,"Architecture & Design",1994-09-21,yes,482,https://www.moma.org/collection/works/482,NULL,NULL,NULL,NULL,NULL,29.20,NULL,NULL,20.30,NULL,NULL
"House for Venice Biennale project, Venice, Italy (Aerial view)","Cesar Pelli",7528,"(American, born Argentina 1926)",(American),(1926),NULL,(male),1976,Watercolor,"40 x 40" (101.6 x 101.6 cm)","Gift of the architect in honor of Philip Johnson",387.1996,Architecture,"Architecture & Design",1996-09-25,yes,483,https://www.moma.org/collection/works/483,NULL,NULL,NULL,NULL,NULL,101.60,NULL,NULL,101.60,NULL,NULL
"Traffic Studies, project, Philadelphia, Pennsylvania, Plan of existing movement pattern (MISSING DRAWING)","Louis I. Kahn",2964,"(American, born Estonia. 1901–1974)",(American),(1901),(1974),(male),1952-53,"Ink on white paper","25 1/4 x 42" (64.1 x 106.7 cm)","Gift of the architect",388.1964,Architecture,"Architecture & Design",1964-04-14,no,484,NULL,NULL,NULL,NULL,NULL,NULL,50.80,NULL,NULL,106.68,NULL,NULL
"Fine Arts Center, School, and Performing Arts Theater, Fort Wayne, Indiana (Site-plan sketch)","Louis I. Kahn",2964,"(American, born Estonia. 1901–1974)",(American),(1901),(1974),(male),1963,"Charcoal on tracing paper","12 x 23 1/4" (30.5 x 59.1 cm)","Gift of the architect",388.1967,Architecture,"Architecture & Design",1967-04-11,yes,485,https://www.moma.org/collection/works/485,https://www.moma.org/media/W1siZiIsIjUxOTcwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=47b946d4b903f3a5,NULL,NULL,NULL,NULL,30.48,NULL,NULL,59.06,NULL,NULL
"New York Tower, project, New York, New York, Arch plan and section","Ricardo Bofill",632,"(Spanish, born 1939)",(Spanish),(1939),NULL,(male),1985,"Graphite and colored pencil on print","37 7/8 x 37 7/8" (96.2 x 96.2 cm)","Gift of Ricardo Bofill Taller de Arquitectura",388.1985,Architecture,"Architecture & Design",1985-11-18,yes,486,https://www.moma.org/collection/works/486,https://www.moma.org/media/W1siZiIsIjUyNDA4MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=bf4f0f0d3952d447,NULL,NULL,NULL,NULL,96.20,NULL,NULL,96.20,NULL,NULL
"House for Venice Biennale, project, Venice, Italy, Aerial view","Cesar Pelli",7528,"(American, born Argentina 1926)",(American),(1926),NULL,(male),1976,"Watercolor and ink on paper","40 x 40" (101.6 x 101.6 cm)","Gift of the architect in honor of Philip Johnson",388.1996,Architecture,"Architecture & Design",1996-09-25,yes,487,https://www.moma.org/collection/works/487,https://www.moma.org/media/W1siZiIsIjUyNzYzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=66483f338e83cb0f,NULL,NULL,NULL,NULL,102.60,NULL,NULL,102.60,NULL,NULL
