Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ImageURL,OnView,"Circumference (cm)","Depth (cm)","Diameter (cm)","Height (cm)","Length (cm)","Weight (kg)","Width (cm)","Seat Height (cm)","Duration (sec.)"
"Woodland Crematorium, Stockholm, Sweden, First version: ground floor plan","Erik Gunnar Asplund",27,"(Swedish, 1885–1940)",(Swedish),(1885),(1940),(male),Unknown,"Graphite on tracing paper","16 1/2 x 16 1/2" (41.9 x 41.9 cm)","Gift of Blanchette Hooker Rockefeller, Mrs. Gifford Phillips, Celeste and Armand P. Bartos, Mrs. S. I. Newhouse, Jr., and purchase",60.1990,Architecture,"Architecture & Design",1990-01-17,yes,146,https://www.moma.org/collection/works/146,https://www.moma.org/media/W1siZiIsIjUyNzIxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2372f92d45a0829f,NULL,NULL,NULL,NULL,41.90,NULL,NULL,41.90,NULL,NULL
"Woodland Crematorium, Stockholm, Sweden, Exterior-perspective study","Erik Gunnar Asplund",27,"(Swedish, 1885–1940)",(Swedish),(1885),(1940),(male),Unknown,"Graphite on tracing paper","25 3/4 x 40" (65.4 x 101.6 cm)","Gift of Blanchette Hooker Rockefeller, Mrs. Gifford Phillips, Celeste and Armand P. Bartos, Mrs. S. I. Newhouse, Jr., and purchase",61.1990,Architecture,"Architecture & Design",1990-01-17,yes,147,https://www.moma.org/collection/works/147,https://www.moma.org/media/W1siZiIsIjUyNzIyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e57017042263ef17,NULL,NULL,NULL,NULL,65.40,NULL,NULL,101.60,NULL,NULL
"Woodland Crematorium, Woodland Cemetery, Stockholm, Sweden, Site plan and section, final version","Erik Gunnar Asplund, Sigurd Lewerentz","27, 24452","(Swedish, 1885–1940) (Swedish)","(Swedish) (Swedish)","(1885) (0)","(1940) (0)","(male) (male)",1937,"Graphite on tracing paper","16 1/4 x 37 7/8" (41.3 x 96.2 cm)","Gift of Blanchette Hooker Rockefeller, Mrs. Gifford Phillips, Celeste and Armand P. Bartos, Mrs. S. I. Newhouse, Jr., and purchase",62.1990,Architecture,"Architecture & Design",1990-01-17,yes,148,https://www.moma.org/collection/works/148,https://www.moma.org/media/W1siZiIsIjUyNzIyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=12c35cd24dbe6f75,NULL,NULL,NULL,NULL,41.30,NULL,NULL,96.20,NULL,NULL
"Woodland Crematorium, Stockholm, Sweden, Exterior elevation of loggia","Erik Gunnar Asplund",27,"(Swedish, 1885–1940)",(Swedish),(1885),(1940),(male),1937,"Graphite on tracing paper","11 5/8 x 33" (29.5 x 83.8 cm)","Gift of Mrs. John D. Rockefeller, 3rd, Mrs. Gifford Phillips, Celeste and Armand P. Bartos, Mrs. S. I. Newhouse, Jr., and purchase",63.1990,Architecture,"Architecture & Design",1990-01-17,yes,149,https://www.moma.org/collection/works/149,https://www.moma.org/media/W1siZiIsIjUyNzIyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e39459b35aff8be8,NULL,NULL,NULL,NULL,29.50,NULL,NULL,83.80,NULL,NULL
"Woodland Crematorium, Woodland Cemetery, Stockholm, Sweden, Exterior elevation, final version","Erik Gunnar Asplund",27,"(Swedish, 1885–1940)",(Swedish),(1885),(1940),(male),1937,"Ink and graphite on drafting cloth","19 3/8 x 62 1/2" (49.2 x 158.8 cm)","Gift of Blanchette Hooker Rockefeller, Mrs. Gifford Phillips, Celeste and Armand P. Bartos, Mrs. S. I. Newhouse, Jr., and purchase",64.1990,Architecture,"Architecture & Design",1990-01-17,yes,150,https://www.moma.org/collection/works/150,https://www.moma.org/media/W1siZiIsIjUyNzIyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=aa187408f7b8f38f,NULL,NULL,NULL,NULL,49.20,NULL,NULL,158.80,NULL,NULL
"Palais de la Découverte Project, Paris, France (Elevation)","Paul Nelson, Oscar Nitzchke, Frantz Jourdain","8102, 4312, 6703","(American, 1895–1979) (American, born Germany. 1900–1991) (French, 1847–1935)","(American) (American) (French)","(1895) (1900) (1847)","(1979) (1991) (1935)","(male) (male) (male)",1938,"Ink and color pencil on paper mounted on board","14 3/4 x 37 1/2 x 1/2" (37.5 x 95.3 x 1.3 cm)","Gift of the architects",98.2013,Architecture,"Architecture & Design",1966-01-01,yes,151,https://www.moma.org/collection/works/151,NULL,NULL,NULL,1.30,NULL,37.50,NULL,NULL,95.30,NULL,NULL
"Palais de la Découverte Project, Paris, France (Longitudinal section)","Paul Nelson, Frantz Jourdain, Oscar Nitzchke","8102, 6703, 4312","(American, 1895–1979) (French, 1847–1935) (American, born Germany. 1900–1991)","(American) (French) (American)","(1895) (1847) (1900)","(1979) (1935) (1991)","(male) (male) (male)",1938,"Ink, graphite, and color pencil on paper, mounted on board","14 3/4 x 37 3/4 x 1/2" (37.5 x 95.9 x 1.3 cm)","Gift of the architects",96.2013,Architecture,"Architecture & Design",1966-01-01,yes,152,https://www.moma.org/collection/works/152,NULL,NULL,NULL,1.30,NULL,37.50,NULL,NULL,95.90,NULL,NULL
"Palais de la Découverte Project, Paris, France (Aerial perspective)","Paul Nelson, Frantz Jourdain, Oscar Nitzchke","8102, 6703, 4312","(American, 1895–1979) (French, 1847–1935) (American, born Germany. 1900–1991)","(American) (French) (American)","(1895) (1847) (1900)","(1979) (1935) (1991)","(male) (male) (male)",1938,"Ink, color ink, graphite, and color pencil on paper mounted on board","28 x 28 x 1/2" (71.1 x 71.1 x 1.3 cm)","Gift of the architects",95.2013,Architecture,"Architecture & Design",1966-01-01,yes,153,https://www.moma.org/collection/works/153,https://www.moma.org/media/W1siZiIsIjUzMTE3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f208c47aa6a9162d,NULL,NULL,1.30,NULL,71.10,NULL,NULL,71.10,NULL,NULL
"Palais de la Découverte Project, Paris, France (Plan of upper level and exhibits)","Paul Nelson, Frantz Jourdain, Oscar Nitzchke","8102, 6703, 4312","(American, 1895–1979) (French, 1847–1935) (American, born Germany. 1900–1991)","(American) (French) (American)","(1895) (1847) (1900)","(1979) (1935) (1991)","(male) (male) (male)",1938,"Ink and graphite on board mounted on board","28 1/4 x 50 1/4" (71. x 127.6 cm)","Gift of the architects",100.2013,Architecture,"Architecture & Design",1966-01-01,yes,154,https://www.moma.org/collection/works/154,NULL,NULL,NULL,NULL,NULL,71.00,NULL,NULL,127.60,NULL,NULL
"Gymnasium-Bridge, project, New York City, New York, Perspective","Steven Holl",2702,"(American, born 1947)",(American),(1947),NULL,(male),1977,"Graphite on paper","13 1/8 x 11 7/8" (33.3 x 30.2 cm)","Roblee McCarthy Fund",83.1989,Architecture,"Architecture & Design",1989-05-16,yes,163,https://www.moma.org/collection/works/163,https://www.moma.org/media/W1siZiIsIjUyNzIzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e3685844459cdb71,NULL,NULL,NULL,NULL,33.30,NULL,NULL,30.20,NULL,NULL
